"Dte.","Barris","TOTAL ","Total","Espanya","Italia","Francia","Romania","Regne Unit","Alemanya","Russia","Portugal","Ucraina","Paisos Baixos","Polonia","Bulgaria","Suecia","Belgica","Irlanda","Resta paisos",,"Total ","Marroc, el","Algeria","Senegal","Resta paisos",,"Total","Bolivia","Equador","Peru","Colombia","Hondures","Brasil","Argentina","Republica Dominicana","Venezuela","Estats Units, els","Mexic","Paraguai","Xile","Cuba","Uruguai","El Salvador","Resta paisos",,"Total","Pakistan","Xina","Filipines","India","Bangladesh","Georgia","Armenia","Japo","Nepal","Resta paisos",,"Oceania","Apatrides/No consta"
3,"16. la Bordeta",9.705,8.928,8.615,63,40,45,11,15,17,9,26,6,7,28,2,12,2,3,27,99,86,0,2,11,452,67,49,48,47,34,34,27,20,15,15,7,39,11,14,9,7,9,224,31,102,26,46,0,4,2,13,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"17. Sants - Badal",12.811,11.331,10.838,79,49,89,16,18,47,21,35,10,20,45,5,6,3,2,48,123,83,18,0,22,1.042,214,91,115,79,77,126,39,31,38,24,7,102,24,18,10,23,24,314,58,149,45,24,5,7,6,20,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"18. Sants",21.572,19.417,18.378,237,131,112,50,69,81,50,60,17,27,35,9,14,20,11,116,175,122,16,1,36,1.399,253,134,157,131,93,103,76,69,72,47,30,105,36,34,15,18,26,576,119,256,58,68,11,22,18,24,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"19. les Corts",24.669,23.179,22.248,215,109,82,34,70,94,56,38,15,32,17,3,16,16,20,114,74,40,12,3,19,922,98,71,82,105,62,40,100,45,71,56,34,48,36,22,15,5,32,488,33,256,19,8,0,83,0,89,1,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"20. la Maternitat i Sant Ramon",12.722,11.864,11.470,91,51,31,16,30,49,18,26,2,16,4,3,6,4,4,43,62,36,9,0,17,624,52,45,74,66,20,69,48,48,35,41,13,43,18,17,11,8,16,171,3,74,9,11,0,21,5,48,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"21. Pedralbes",6.282,5.878,5.337,87,166,19,26,43,80,16,11,7,3,5,4,19,6,9,40,30,14,6,0,10,237,37,4,21,19,7,5,17,26,10,24,15,16,5,2,1,12,16,134,7,14,24,3,0,32,1,53,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"22. Vallvidrera, el Tibidabo i les Planes",2.363,2.282,2.050,43,39,11,30,21,21,4,4,13,7,3,5,1,7,4,19,2,1,0,0,1,70,5,4,5,1,1,0,2,5,2,4,14,6,11,2,2,1,5,9,0,3,0,0,0,1,0,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"23. Sarri�",13.152,12.553,11.718,182,265,17,54,55,61,26,15,18,9,9,2,17,13,13,79,38,16,9,3,10,363,44,8,24,26,22,8,23,19,11,25,75,25,10,11,3,2,27,193,4,42,21,7,0,79,0,40,2,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"24. les Tres Torres",8.864,8.326,7.960,68,68,4,19,46,32,19,8,16,9,7,0,11,5,11,43,19,9,2,2,6,391,33,11,16,13,24,5,23,18,18,19,164,20,7,5,2,5,8,122,4,20,30,7,0,39,0,22,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"25. Sant Gervasi - la Bonanova",13.770,13.027,12.386,130,106,33,41,66,88,22,21,19,14,6,3,2,10,10,70,61,33,12,1,15,500,66,26,42,42,30,6,36,44,36,36,40,39,17,4,9,4,23,179,6,65,45,9,3,14,1,36,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"26. Sant Gervasi - Galvany",25.788,24.297,22.978,283,235,52,74,122,132,47,34,50,21,15,1,20,32,23,178,101,52,11,4,34,1.031,112,41,81,103,54,28,60,57,69,75,122,87,32,20,14,27,49,350,15,84,99,17,0,36,2,97,7,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"27. el Putxet i el Farr�",15.892,14.932,14.009,233,147,46,62,90,70,38,24,23,28,2,0,11,17,14,118,51,32,4,4,11,701,54,28,64,69,30,15,54,52,64,46,47,64,47,13,13,14,27,199,14,84,14,8,0,20,0,59,4,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"28. Vallcarca i els Penitents",8.285,7.835,7.316,98,66,31,44,47,50,26,32,14,17,3,6,9,7,12,57,24,17,0,0,7,336,33,25,30,29,19,7,19,27,27,22,13,38,22,8,6,1,10,85,12,41,3,6,0,10,0,13,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"29. el Coll",3.890,3.607,3.371,45,31,24,14,18,23,10,13,3,13,2,1,3,2,8,26,30,24,2,0,4,220,30,10,13,15,38,1,17,25,21,8,1,14,10,3,4,5,5,32,8,5,3,4,0,3,0,9,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"30. la Salut",7.142,6.723,6.327,122,46,22,26,35,24,25,8,9,9,7,5,3,10,4,41,37,17,7,4,9,289,26,15,26,35,16,6,18,23,23,27,15,13,10,12,11,8,5,90,7,36,5,8,3,7,0,24,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"31. la Vila de Gr�cia",27.574,25.382,22.755,812,411,98,226,213,91,128,41,69,60,19,6,30,49,41,333,140,102,11,1,26,1.499,106,67,108,128,72,34,142,122,121,125,153,81,87,32,33,23,65,531,30,179,44,70,10,31,22,145,15,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"32. el Camp d'en Grassot i Gr�cia Nova",18.451,17.332,16.341,257,143,47,60,55,54,54,37,9,34,28,29,14,27,13,130,71,54,1,1,15,726,91,53,66,75,35,29,53,44,44,67,50,16,43,22,14,5,19,313,20,172,10,29,2,18,31,31,3,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"33. el Baix Guinard�",13.736,12.703,12.063,153,73,64,38,26,57,27,42,12,21,25,5,17,7,8,65,66,39,6,4,17,735,72,67,105,82,49,17,51,55,45,35,11,65,16,20,20,11,14,231,45,123,8,7,1,13,15,19,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"34. Can Bar�",4.703,4.375,4.140,44,29,29,11,17,30,5,7,1,10,4,2,6,3,4,33,19,10,4,0,5,227,20,22,23,20,32,7,24,16,9,5,5,8,19,6,4,1,6,80,19,37,2,2,1,7,1,11,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"35. el Guinard�",19.299,17.629,16.815,183,83,78,33,29,75,23,62,12,37,24,37,21,16,10,91,164,118,13,3,30,1.264,155,115,118,156,133,89,55,86,61,33,27,103,33,23,18,27,32,238,35,138,7,13,0,10,1,34,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"36. la Font d'en Fargues",4.952,4.799,4.690,20,14,14,8,8,12,1,10,1,2,0,3,3,1,1,11,13,8,1,0,4,121,23,16,6,8,15,4,10,11,5,3,3,4,5,3,2,2,1,19,2,10,2,2,0,0,0,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"37. el Carmel",16.417,15.025,14.439,103,34,85,6,17,82,24,48,10,28,20,38,25,5,5,56,156,116,13,6,21,1.050,242,164,97,55,141,46,27,50,33,17,5,75,16,12,18,38,14,186,53,87,11,13,0,6,5,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"38. la Teixonera",5.831,5.379,5.176,44,14,29,4,8,20,11,20,1,11,3,5,8,4,1,20,45,24,8,3,10,328,39,30,52,23,41,20,15,14,18,15,2,19,17,5,3,10,5,78,33,13,1,24,0,1,2,4,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"39. Sant Gen�s dels Agudells",3.570,3.298,3.189,21,9,10,2,9,15,13,10,1,3,1,2,5,0,0,8,42,30,3,0,9,201,17,19,33,12,37,12,6,9,16,5,3,9,5,4,8,2,4,29,7,10,0,3,0,3,1,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"40. Montbau",2.817,2.627,2.556,9,4,13,1,2,19,1,3,0,2,3,3,4,0,0,7,18,11,2,1,4,150,11,7,9,17,12,6,14,10,4,8,2,14,27,1,3,3,2,22,0,11,1,5,0,1,0,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"41. la Vall d'Hebron",2.964,2.824,2.715,15,4,18,5,7,23,5,10,0,1,4,2,4,1,0,10,8,3,0,1,4,118,4,4,18,26,15,5,9,3,12,2,2,3,9,4,0,0,2,13,0,13,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"42. la Clota",275,248,244,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,0,1,0,5,1,0,1,1,3,1,0,0,0,1,2,0,0,11,11,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"43. Horta",14.094,13.190,12.782,68,26,90,10,19,35,8,33,3,16,29,27,8,5,1,30,96,71,4,2,19,677,80,61,53,44,88,141,17,22,16,27,9,30,21,16,11,14,27,131,11,49,40,6,0,7,2,16,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"44. Vilapicina i la Torre Llobeta",13.789,12.621,12.200,62,29,47,10,14,49,12,35,6,15,45,43,24,6,2,22,58,43,1,1,13,878,195,90,89,86,113,82,18,33,26,13,5,45,22,23,6,25,7,230,42,162,3,4,2,3,0,14,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"45. Porta",13.016,11.705,11.268,39,13,55,7,7,48,14,47,8,13,56,93,8,4,5,20,164,110,7,6,41,936,157,109,101,86,141,91,36,34,33,8,3,62,12,27,13,13,10,210,46,122,8,7,3,2,4,18,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"46. el Tur� de la Peira",8.314,7.030,6.735,19,16,35,1,7,33,6,35,4,3,80,42,2,3,0,9,123,94,18,0,11,1.013,317,119,68,50,96,178,22,30,16,1,2,55,16,10,3,11,19,148,79,59,0,4,1,1,0,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"47. Can Peguera",1.183,1.117,1.099,6,0,5,1,0,1,1,0,0,0,0,0,0,1,1,2,21,17,0,0,4,34,3,6,0,3,4,5,3,3,1,0,0,0,3,3,0,0,0,11,0,4,1,5,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"48. la Guineueta",8.071,7.690,7.481,26,9,31,3,7,22,4,36,6,13,14,19,3,3,0,13,32,23,1,2,6,290,31,21,35,34,47,11,14,22,4,9,2,33,3,10,3,3,8,59,14,33,4,0,2,2,0,4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"49. Canyelles",3.621,3.515,3.472,5,2,9,0,1,6,2,9,0,1,5,1,0,0,0,2,14,5,3,1,5,81,4,10,9,5,13,6,3,6,3,2,1,11,2,1,0,5,0,11,1,5,2,0,1,0,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"50. les Roquetes",8.034,6.763,6.470,29,17,106,3,1,37,4,25,2,13,12,21,10,2,1,10,185,99,3,0,83,941,62,128,39,30,481,48,29,12,16,2,2,30,8,7,17,12,18,145,66,40,7,18,0,3,1,10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"51. Verdun",6.584,5.676,5.459,28,10,38,2,4,32,7,29,2,2,3,37,8,1,2,12,80,51,1,1,27,702,78,76,32,29,294,62,16,7,8,6,0,37,18,10,4,21,4,126,22,77,7,13,0,0,0,7,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"52. la Prosperitat",13.751,12.326,11.967,36,8,60,10,11,30,9,31,5,6,34,82,13,4,1,19,174,91,9,7,67,1.021,143,154,80,66,280,64,51,27,23,11,3,42,13,16,18,21,9,230,34,144,14,21,6,2,0,9,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"53. la Trinitat Nova",3.845,3.404,3.247,10,1,22,1,3,26,1,19,1,2,9,56,0,0,0,6,81,50,1,1,29,262,23,37,22,11,84,30,6,4,6,0,0,14,1,4,7,6,7,98,50,13,0,30,2,0,0,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"54. Torre Bar�",1.413,1.220,1.184,6,0,4,0,0,4,9,0,0,2,0,0,5,0,1,5,78,59,3,3,13,94,18,9,12,11,14,11,7,0,4,2,0,3,1,1,1,0,0,21,12,1,0,2,4,0,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"55. Ciutat Meridiana",5.098,3.974,3.819,12,3,38,2,1,24,6,18,8,11,3,12,5,0,0,12,294,142,4,2,146,635,39,146,31,14,236,98,14,9,2,0,0,20,3,4,2,3,14,195,150,19,6,13,0,2,0,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"56. Vallbona",685,629,615,1,1,2,0,2,1,0,2,0,2,0,0,1,0,0,2,13,11,1,0,1,24,5,1,2,1,5,1,3,0,0,0,0,1,0,2,0,0,3,19,10,6,0,2,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"57. la Trinitat Vella",4.886,3.921,3.747,22,3,58,0,2,15,5,16,3,0,20,10,4,1,4,11,274,223,12,2,37,366,33,81,42,17,65,43,19,10,5,2,0,15,8,6,7,4,9,325,254,36,5,17,1,1,0,11,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
