"Dte.","Barris","TOTAL ","Total","Espanya","Italia","Francia","Romania","Regne Unit","Alemanya","Russia","Portugal","Ucraina","Paisos Baixos","Polonia","Bulgaria","Suecia","Belgica","Irlanda","Resta paisos",,"Total ","Marroc, el","Algeria","Senegal","Resta paisos",,"Total","Bolivia","Equador","Peru","Colombia","Hondures","Brasil","Argentina","Republica Dominicana","Venezuela","Estats Units, els","Mexic","Paraguai","Xile","Cuba","Uruguai","El Salvador","Resta paisos",,"Total","Pakistan","Xina","Filipines","India","Bangladesh","Georgia","Armenia","Japo","Nepal","Resta paisos",,"Oceania","Apatrides/No consta"
4,"19. les Corts",24.587,22.906,21.954,213,132,79,76,50,78,59,29,20,15,19,15,22,3,22,120,74,39,17,3,15,1.178,139,102,104,134,69,66,110,62,75,60,68,59,47,27,18,9,29,426,32,215,21,13,2,76,0,67,2,1,0,,
4,"20. la Maternitat i Sant Ramon",12.607,11.621,11.211,97,49,26,38,16,43,10,21,19,6,5,7,12,5,3,53,54,30,7,0,17,736,93,54,82,113,50,38,57,23,29,29,48,44,15,17,13,10,21,195,3,69,9,15,0,36,1,62,1,0,0,,
4,"21. Pedralbes",6.258,5.791,5.223,81,214,21,54,30,51,12,10,5,11,7,9,14,0,10,39,31,16,6,0,9,311,59,9,27,33,8,25,9,10,28,11,15,21,23,4,1,13,15,120,7,7,23,9,0,34,1,39,0,5,0,,
5,"22. Vallvidrera, el Tibidabo i les Planes",2.333,2.229,2.015,38,33,5,29,33,12,2,2,4,12,4,2,1,2,5,30,4,2,0,0,2,89,10,7,4,2,2,8,3,2,3,8,9,5,16,2,3,1,4,11,0,5,2,0,0,1,0,3,0,0,0,,
5,"23. Sarri�",13.197,12.497,11.610,197,313,22,64,48,43,21,13,13,26,17,7,17,1,14,71,54,28,9,2,15,460,73,9,48,37,12,27,23,22,49,11,45,13,61,10,2,1,17,180,3,30,26,8,0,66,0,47,2,4,0,,
5,"24. les Tres Torres",8.652,8.081,7.690,76,77,6,54,24,21,17,4,7,20,7,5,12,1,14,46,13,10,0,2,1,421,51,12,27,24,8,18,22,32,23,10,42,15,114,4,2,9,8,132,10,15,28,6,0,53,0,20,4,1,0,,
5,"25. Sant Gervasi - la Bonanova",13.625,12.849,12.175,152,119,34,69,42,54,25,23,16,20,12,5,9,2,9,83,49,31,5,0,13,587,93,34,53,55,13,38,34,37,33,5,57,34,55,8,16,6,16,139,5,55,41,0,2,14,1,21,1,0,0,,
5,"26. Sant Gervasi - Galvany",25.593,23.927,22.633,284,264,57,116,71,108,41,33,22,36,33,11,22,4,28,164,76,43,8,3,22,1.210,167,51,128,122,34,65,68,72,86,48,89,58,112,14,18,29,49,365,12,92,112,15,1,38,3,92,6,9,0,,
5,"27. el Putxet i el Farr�",15.782,14.669,13.746,241,146,61,92,67,54,40,23,21,18,22,3,12,0,15,108,64,40,3,3,18,877,80,45,105,107,24,55,64,35,55,49,68,58,61,13,17,16,25,167,14,66,16,4,0,22,0,45,4,1,0,,
6,"28. Vallcarca i els Penitents",8.341,7.759,7.264,96,62,22,51,51,28,27,28,16,12,11,3,6,9,10,63,21,15,2,0,4,466,61,33,55,48,12,31,23,22,39,25,47,32,9,7,6,2,14,92,16,43,2,5,0,12,0,14,2,0,1,,
